project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
zenlink,DELIVERED,1,1,zenlink.md,,,2.0,0.92,1.84,2,,,https://github.com/zenlinkpro/whitepaper,,cutoff,
zenlink_dex_smart_contract,DELIVERED,1,1,zenlink.md,,,2.0,0.92,1.84,2,,,https://github.com/zenlinkpro/whitepaper,,cutoff,
zeropool-2-snjax,DELIVERED,1,1,ZeroPool.md,,,3.0,4.0,12.0,1,,,https://github.com/zeropoolnetwork/fawkes-crypto,12.00,cutoff,
ink-analyzer,DELIVERED,7,5,ink-analyzer.md,,,1.0,4.25,4.25,7,4.91,,https://github.com/ink-analyzer/ink-analyzer,,cutoff,20.877
ink-analyzer-phase,DELIVERED,7,5,ink-analyzer-phase-2.md,,,1.0,8.5,8.5,10,4.58,,https://github.com/ink-analyzer/ink-analyzer,,cutoff,38.891
hyperfridge,DELIVERED,5,5,hyperfridge.md,,,1.5,6.0,9.0,8,0.19,,https://github.com/element36-io/hyperfridge-r0,9.00,cutoff,1.6814
perun_integration,DELIVERED,5,5,,,,,,,,,,https://github.com/perun-network/perun-polkadot-pallet,9.06,cutoff,1.649
ajuna,DELIVERED,4,2,ajuna_network_follow_up.md,,,1.0,4.0,4.0,16,1.52,,https://github.com/ajuna-network/Ajuna.SDK,4.00,cutoff,6.098
dapp_wallet_integration_native_mobile_libraries,DELIVERED,4,3,dapp_wallet_integration_native_mobile_libraries.md,,,2.0,3.68,7.36,3,0.67,,https://github.com/tesseract-one/Tesseract.android,,cutoff,4.946
hybrid,DELIVERED,4,2,hybrid.md,,,1.0,2.76,2.76,5,1.06,,https://github.com/hybrid-explorer/hybrid-indexer,,cutoff,2.931
hybrid2,DELIVERED,4,2,hybrid2.md,,,1.0,2.76,2.76,3,1.22,,https://github.com/hybrid-explorer/hybrid-indexer,,commit,3.358
kuma-wallet,DELIVERED,4,1,,,,,,,,,,https://github.com/blockcoders/kuma-wallet,,cutoff,20.612
logion_wallet,DELIVERED,4,4,logion_wallet.md,,,2.0,10.0,20.0,4,1.38,,https://github.com/logion-network/logion-wallet,20.00,cutoff,27.6568
melodot,DELIVERED,4,4,Melodot.md,,,1.5,4.5,6.75,4,2.07,,https://github.com/ZeroDAO/melodot,6.75,cutoff,13.944
Plutonication,DELIVERED,4,2,Plutonication.md,,,0.83,2.0,1.66,12,0.87,,https://github.com/RostislavLitovkin/Plutonication,1.66,cutoff,1.449
polkadart,DELIVERED,4,3,Polkadart.md,,,4.0,15.0,60.0,8,,,https://github.com/rankanizer/polkadart,60.00,,
Polkadart_extension,DELIVERED,4,3,polkadart_extension.md,,,1.5,4.0,6.0,9,,,https://github.com/leonardocustodio/polkadart,6.00,,
polkadart-followup,DELIVERED,4,3,Polkadart.md,,,4.0,15.0,60.0,8,,,https://github.com/leonardocustodio/polkadart,6.00,,
PrivaDEX_aggregator,DELIVERED,4,4,PrivaDEX_aggregator.md,,,2.0,5.5,11.0,4,1.79,,https://github.com/kapilsinha/privadex,11.00,cutoff,19.6941
rv_kmir,DELIVERED,4,1,rv-kmir.md,,,1.5,3.22,4.83,7,0.39,,https://github.com/runtimeverification/mir-semantics,,cutoff,1.861
Solang_Playground,DELIVERED,4,2,Solang_Playground.md,,,0.5,13.0,6.5,4,10.79,,https://github.com/hyperledger-labs/solang-playground,,cutoff,70.13
tcdt,DELIVERED,4,3,,,,,,,,,,https://github.com/tcdt-lab/bcdns,,cutoff,
tracking_chain,DELIVERED,4,2,tracking_chain.md,,,1.0,6.5,6.5,3,,,https://github.com/TrackingChains/TrackingChain,6.50,cutoff,
wasm_runtimes_fuzzing,DELIVERED,4,4,wasm_runtimes_fuzzing.md,,,,3.0,,2,,,https://github.com/pventuzelo/wasm_runtimes_fuzzing,,commit,
blackprint_js,DELIVERED,3,2,blackprint-js.md,,,1.0,6.0,6.0,7,0.67,,https://github.com/Blackprint/Blackprint,,cutoff,4.025
bright_tresury,DELIVERED,3,3,,,,,,,,,,https://github.com/bright/bright-tresury,,cutoff,47.4179
CoinFabrik_On_Ink_Integration_Tests,DELIVERED,3,1,CoinFabrik_On_Ink_Integration_Tests.md,,,2.5,0.46,1.15,3,2.24,,https://github.com/CoinFabrik/on-ink-integration-tests,,cutoff,2.5757
crossbow,DELIVERED,3,3,crossbow.md,,,3.5,5.0,17.5,11,0.22,,https://github.com/dodorare/crossbow,17.50,commit,3.9117
cryptex,DELIVERED,3,1,cryptex.md,,,1.5,3.0,4.5,8,21.76,verify-bloat?,https://github.com/ideal-lab5/smoldot,4.50,cutoff,97.913
delmonicos,DELIVERED,3,3,delmonicos.md,,,1.0,3.0,3.0,6,1.06,,https://github.com/Delmonicos/charger-node,3.00,cutoff,3.1934
distributed_cryptography_for_polkadot_wallets,DELIVERED,3,0,distributed_cryptography_for_polkadot_wallets.md,,,1.25,7.25,9.06,13,,,https://github.com/perun-network/polkadot-wallet-grant,9.06,cutoff,
dot_marketplace,DELIVERED,3,3,dot_marketplace.md,Open,,5.9125,2.0,11.82,4,,,https://github.com/WowLabz/dot_marketplace_docker,11.82,cutoff,
dot_marketplace-Phase3,DELIVERED,3,3,dot_marketplace-Phase3.md,Open,,2.39,2.0,4.78,5,0.56,,https://github.com/WowLabz/dot-marketplace-v2,4.78,cutoff,2.6685
dot_marketplace_v2,DELIVERED,3,3,dot_marketplace.md,Open,,5.9125,2.0,11.82,4,0.21,,https://github.com/WowLabz/dot-marketplace-v2,4.78,cutoff,2.4835
dotmog,DELIVERED,3,3,dotmog.md,,,1.0,2.0,2.0,15,3.36,,https://github.com/dotmog/SubstrateNetApi,2.00,cutoff,6.728
ElasticLabs_PolakdotAgentKit,DELIVERED,3,1,Lastic.md,,,2.0,,,4,,,https://github.com/elasticlabs-org/polkadot-agent-kit,6.00,commit,16.405
fennel-protocol,DELIVERED,3,3,Fennel_Protocol.md,,,3.0,3.0,9.0,7,0.22,,https://github.com/fennelLabs/Fennel-Protocol,9.00,cutoff,1.956
FIAT-on-off-ramp,DELIVERED,3,2,FIAT-on-off-ramp.md,,,2.0,3.0,6.0,6,0.5,,https://github.com/element36-io/ebics-java-service,9.00,cutoff,3.0021
fidi-dotsight,DELIVERED,3,3,fidi-dotsight-analytics.md,,,3.5,,,0,,,https://github.com/fidi-tech/dotsight,,commit,2.5402
Gafi,DELIVERED,3,3,Gafi.md,,,1.2,11.5,13.8,3,1.12,,https://github.com/cryptoviet/gafi,13.80,cutoff,15.4
hybrid-node-research,DELIVERED,3,0,hybrid_node_research.md,,,2.5,,,0,,,https://github.com/Zondax/mayon,,cutoff,2.7665
invoice,DELIVERED,3,3,decentralized_invoice.md,,,2.0,3.0,6.0,4,0.27,,https://github.com/gertt/Invoice,,cutoff,1.636
lastic,DELIVERED,3,2,Lastic.md,,,2.0,,,4,,,https://github.com/LasticXYZ/squid-sdk,,cutoff,1.5718
load_balanced_endpoints_operations,DELIVERED,3,5,,,,,,,,,,https://github.com/geometry-labs/substrate-meta,,cutoff,
mobile_dapp_connection,DELIVERED,3,3,mobile_dapp_connection.md,,,,,,5,,,https://github.com/tesseract-one/Tesseract.rs,1.66,cutoff,1.759
mobile-game-framework-millestone,DELIVERED,3,3,mobile-game-framework.md,,,2.0,2.76,5.52,17,0.0,verify-frag?,https://github.com/creator-rs/creator,,commit,0.0037
myriad_social,DELIVERED,3,3,myriad_social.md,,,3.0,3.0,9.0,5,0.58,,https://github.com/myriadsocial/myriad-node-parachain,9.00,cutoff,5.2005
NeuroZK,DELIVERED,3,3,NeuroZK.md,,,2.0,6.0,12.0,6,0.13,verify-frag?,https://github.com/Cyborg-Network/cyborg-parachain,12.00,commit,1.5701
