project_id,ksloc,pm_actual,E,SF_PREC,SF_FLEX,SF_RESL,SF_TEAM,SF_PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,BC_BEM,BC_DC,BC_EM_GAS,BC_EM_AUD,BC_EM_MC,BC_EM_REG,BC_EM_NODE,pm_pred
pallet_supersig_decentration,2.362,0.9366,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.093
PANIC,157.744,12.4842,1.07,N,N,H,N,H,N,N,H,N,H,H,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.05,1.0,1.0,1.0,1.0,139.134
parachain_staking,58.488,8.225,1.0965,L,N,N,N,H,N,N,VH,N,N,H,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.05,1.0,1.2,1.0,1.1,65.709
parallel,15.02,4.2154,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.2,1.0,1.1,11.454
ParaSpell-followup2,2.542,0.5129,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.2,1.0,1.0,1.556
patron,7.579,0.1723,1.0997,N,N,N,N,N,N,N,H,N,H,H,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,4.538
perun_app_channels,2.056,0.1774,1.0841,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.706
php-scale-lib,2.722,0.8891,1.0997,N,N,N,N,N,N,N,H,N,N,H,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.326
php-substrate-api,2.953,0.1499,1.0997,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.159
Plutonication,1.449,1.5306,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,0.644
pocs,47.87,1.2225,1.0841,N,N,N,N,H,N,N,H,N,N,H,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.05,1.0,1.0,1.0,1.1,36.584
polkadex,2.548,0.659,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,1.604
polkadot_analytics_platform,0.688,0.2037,1.0856,N,N,H,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.261
