network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1709,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1708,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1707,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1706,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1705,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1704,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1703,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1702,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1701,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1700,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1699,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1698,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1697,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1696,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1695,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1694,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1693,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1692,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1691,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1690,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1689,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1688,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1687,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1686,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1685,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1684,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1683,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1682,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1681,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1680,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1679,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1678,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1677,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1676,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1675,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1674,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1673,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1672,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1671,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1670,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1669,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1668,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1667,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1666,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1665,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1664,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1663,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1662,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1661,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1660,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1659,,,,,,,,,,,,NO_DETAIL
