project_id,project_name,repo_url,commit_sha,cutoff_date,since_date,subdir,planned_fte,planned_duration_months,planned_pm,cost_usd,application_url,notes
High-Availability validator setup,High-Availability validator setup,https://github.com/tikv/tikv,,2023-07-11,,,1,,,25000,github.com/w3f/Grants-Program/blob/master/applications/High_availability_validator_setup.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hs-web3,hs-web3,https://github.com/airalab/hs-web3,,2021-08-19,,,0.4,,,2,github.com/w3f/Grants-Program/blob/master/applications/hs-web3.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hybrid,hybrid,https://github.com/hybrid-explorer/hybrid-indexer,,2023-08-07,,,1,,,10000,github.com/w3f/Grants-Program/blob/master/applications/hybrid2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hybrid2,hybrid2,https://github.com/hybrid-explorer/hybrid-indexer,a15b1ce1a4e40546e22e818d034880ca37187a60,2024-03-20,,,1,,,10000,github.com/w3f/Grants-Program/blob/master/applications/hybrid2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
hybrid-node-research,hybrid-node-research,https://github.com/Zondax/mayon,,2023-03-19,,,2.5,,,58,github.com/w3f/Grants-Program/blob/master/applications/hybrid_node_research.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Hyperdot,Hyperdot,https://github.com/Infra3-Network/hyperdot-node,,2024-01-15,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
hyperfridge,hyperfridge,https://github.com/element36-io/hyperfridge-r0,,2026-01-28,,,1.5,6,9.00,,github.com/w3f/Grants-Program/blob/master/applications/hyperfridge.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
idavoll_network,idavoll_network,https://github.com/idavollnetwork/idavoll,,2021-06-17,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
identics_identity_indexer,identics_identity_indexer,https://github.com/vikiival/identics,,2025-09-09,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/multichain_identity_indexer.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
identity_directory,identity_directory,https://github.com/Shard-Labs/identity-directory,,2021-10-18,,,3,,,34500,github.com/w3f/Grants-Program/blob/master/applications/substrate-identity-directory.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
imbue_network,imbue_network,https://github.com/imbuenetwork/imbue,,2022-03-23,,,0,6,0.00,27000,github.com/w3f/Grants-Program/blob/master/applications/infimum.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
infimum,infimum,https://github.com/rhysbalevicius/infimum,,2024-12-09,,,0,6,0.00,27000,github.com/w3f/Grants-Program/blob/master/applications/infimum.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-analyzer,ink-analyzer,https://github.com/ink-analyzer/ink-analyzer,,2023-08-04,,,1,,,30000,github.com/w3f/Grants-Program/blob/master/applications/ink-analyzer.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-analyzer-phase,ink-analyzer-phase,https://github.com/ink-analyzer/ink-analyzer,,2024-02-05,,,1,,,30000,github.com/w3f/Grants-Program/blob/master/applications/ink-analyzer.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-boxes,ink-boxes,https://github.com/nerdsince98/ink-boxes,,2022-12-13,,,,,,5000,github.com/w3f/Grants-Program/blob/master/applications/ink-boxes.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-explorer,ink-explorer,https://github.com/blockcoders/ink-substrate-explorer-api,,2022-11-18,,,3,6,18.00,64000,github.com/w3f/Grants-Program/blob/master/applications/cross-chain-wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-pallet-benchmarking,ink-pallet-benchmarking,https://github.com/Nikhil-Desai-Talentica/substrate-node-template-benchmarking,,2023-07-04,,,1,,,10000,github.com/w3f/Grants-Program/blob/master/applications/ink-pallet-benchmarking.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-playground,ink-playground,https://github.com/Zeeve-App/ink-playground,5bb6b61e067ea1b9ce17d099d994993e891437c1,2024-06-13,,,3,,,24000,github.com/w3f/Grants-Program/blob/master/applications/ink-playground-ide-improvements.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
inkscope-fuzzer,inkscope-fuzzer,https://github.com/inkscopexyz/inkscope-fuzzer,,2024-05-17,,,1.5,3,4.50,30000,github.com/w3f/Grants-Program/blob/master/applications/inkscope-fuzzer.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ink-smart-contract-wizard,ink-smart-contract-wizard,https://github.com/avirajkhare00/ink-wizard,,2023-01-16,,,1,2,2.00,100000,github.com/w3f/Grants-Program/blob/master/applications/polkasearch.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Intersetellar-network-WP2,Intersetellar-network-WP2,https://github.com/Interstellar-Network/lib_circuits,,2023-09-19,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
Interstellar-Network,Interstellar-Network,https://github.com/Interstellar-Network/api_garble,,2023-02-17,,,11,5,55.00,47000,github.com/w3f/Grants-Program/blob/master/applications/Interstellar-Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Interstellar-Network-WP2,Interstellar-Network-WP2,https://github.com/Interstellar-Network/lib-garble-rs,,2023-10-05,,,11,5,55.00,47000,github.com/w3f/Grants-Program/blob/master/applications/Interstellar-Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
InvArch,InvArch,https://github.com/InvArch/InvArch-Pallet-Library,,2022-07-20,,,2.5,,,25000,github.com/w3f/Grants-Program/blob/master/applications/InvArch.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
invoice,invoice,https://github.com/gertt/Invoice,,2023-01-20,,,,3,,,github.com/w3f/Grants-Program/blob/master/applications/decentralized_invoice.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ipfs_utilities,ipfs_utilities,https://github.com/TDSoftware/substrate-ipfs,,2023-04-21,,,2,2,4.00,66000,github.com/w3f/Grants-Program/blob/master/applications/ipfs_utilities.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
iris,iris,https://github.com/iridium-labs/iris-docs,,2022-04-05,,,1.5,,,22500,github.com/w3f/Grants-Program/blob/master/applications/iris.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
iris_followup,iris_followup,https://github.com/ideal-lab5/iris,,2022-12-19,,,2.5,9,22.50,47000,github.com/w3f/Grants-Program/blob/master/applications/iris_followup.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
iris_milestone-delivery,iris_milestone-delivery,https://github.com/iridium-labs/ui,,2021-12-24,,,1.5,,,22500,github.com/w3f/Grants-Program/blob/master/applications/iris.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ismp-milestone-delivery,ismp-milestone-delivery,https://github.com/polytope-labs/ismp,,2023-05-31,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/polkadot_agent_kit.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ISO8583,ISO8583,https://github.com/adit313/ISO8583-Blockchain-Integration-Plan,,2022-10-02,,,1,4,4.00,28000,github.com/w3f/Grants-Program/blob/master/applications/ISO-8583-implementation.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
iso_8583_PoC,iso_8583_PoC,https://github.com/subclone/payment-processor,,2024-03-22,,,1,4,4.00,28000,github.com/w3f/Grants-Program/blob/master/applications/ISO-8583-implementation.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Iunokit,Iunokit,https://github.com/Luno-lab/LunoKit,,2025-11-12,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/LunoKit.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
java-client,java-client,https://github.com/emeraldpay/polkaj,,2020-05-08,,,4.,15,60.00,75000,github.com/w3f/Grants-Program/blob/master/applications/Polkadart.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
java_client_mileston,java_client_mileston,https://github.com/emeraldpay/polkaj,,2020-08-17,,,4.,15,60.00,75000,github.com/w3f/Grants-Program/blob/master/applications/Polkadart.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
keysafe_network,keysafe_network,https://github.com/keysafe-protocol/keysafe-app,,2022-11-26,,,3,8,24.00,27000,github.com/w3f/Grants-Program/blob/master/applications/keysafe_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Knowledge-Oriented-Framework,Knowledge-Oriented-Framework,https://github.com/mobr-ai/POnto,,2023-08-01,,,0.85,1,0.85,10000,github.com/w3f/Grants-Program/blob/master/applications/polkadot_analytics_platform.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Kodadot_assethub_nft_indexer,Kodadot_assethub_nft_indexer,https://github.com/kodadot/stick,,2024-02-22,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
kodadot_atomic_swap_indexer,kodadot_atomic_swap_indexer,https://github.com/kodadot/stick,,2024-07-24,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
konomi,konomi,https://github.com/konomi-network/cumulus,,2021-06-18,,,2,1.5,3.00,1,github.com/w3f/Grants-Program/blob/master/applications/konomi.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
KSM-embeddable-tip-or-donate-button,KSM-embeddable-tip-or-donate-button,https://github.com/Shard-Labs/kusama-tips-widget,,2021-01-07,,,3,,,34500,github.com/w3f/Grants-Program/blob/master/applications/substrate-identity-directory.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
kuma-wallet,kuma-wallet,https://github.com/blockcoders/kuma-wallet,,2023-08-11,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
kylin-network,kylin-network,https://github.com/Kylin-Network/kylin-node,,2021-02-10,,,3,2,6.00,1,github.com/w3f/Grants-Program/blob/master/applications/kylin_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
KZero,KZero,https://github.com/kzero-xyz/kzero,,2025-10-06,,,,2,,50000,github.com/w3f/Grants-Program/blob/master/applications/KZero.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
lastic,lastic,https://github.com/LasticXYZ/squid-sdk,,2024-05-03,,,,,,10000,github.com/w3f/Grants-Program/blob/master/applications/Lastic.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
lastic-price-simulator-milestione,lastic-price-simulator-milestione,https://github.com/LasticXYZ/price-simulation,,2024-01-02,,,1.5,,,6000,github.com/w3f/Grants-Program/blob/master/applications/lastic-price-simulation-2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
LedgerAssetsApp_G6_1,LedgerAssetsApp_G6_1,https://github.com/Zondax/ledger-statemint,,2022-08-18,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
ledgerUpgrade,ledgerUpgrade,https://github.com/Zondax/ledger-polkadot,,2025-05-28,,,1.5,,,35,github.com/w3f/Grants-Program/blob/master/applications/ledgerUpgrade.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
liberland,liberland,https://github.com/liberland/liberland_substrate,,2023-06-05,,,3,5,15.00,50,github.com/w3f/Grants-Program/blob/master/applications/liberland.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Libra,Libra,https://github.com/atscaletech/libra,,2022-11-21,,,1.5,,,16000,github.com/w3f/Grants-Program/blob/master/applications/Libra.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
LightSpell,LightSpell,https://github.com/paraspell/xcm-api,99fc787bc505dfdb82afe23f252498b30dc8d16d,2023-08-10,,,1,5,5.00,22,github.com/w3f/Grants-Program/blob/master/applications/SpellRouter-proposal.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
LiisaPortfolioTracker,LiisaPortfolioTracker,https://github.com/LiisaNFT/PolkadotNFTPortfolioTracker,,2024-05-22,,,2.25,5,11.25,30000,github.com/w3f/Grants-Program/blob/master/applications/LiisaPortfolioTracker.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
lip_payments,lip_payments,https://github.com/virto-network/virto-node,73c2af347d320b5abd9e377867106d16314b1472,2022-03-02,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
load_balanced_endpoints_operations,load_balanced_endpoints_operations,https://github.com/geometry-labs/substrate-meta,,2022-05-31,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
logion_wallet,logion_wallet,https://github.com/logion-network/logion-wallet,,2022-06-13,,,2,10,20.00,42,github.com/w3f/Grants-Program/blob/master/applications/logion_wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
lunie-governance_milestones-1,lunie-governance_milestones-1,https://github.com/luniehq/lunie,,2020-09-23,,,5.5,,,3,github.com/w3f/Grants-Program/blob/master/applications/lunie.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
lunokit,lunokit,https://github.com/Luno-lab/LunoKit,,2025-10-09,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/LunoKit.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
MangoBOX,MangoBOX,https://github.com/Mangoboxlabs/Mangoboxink,,2022-10-27,,,4,2,8.00,40000,github.com/w3f/Grants-Program/blob/master/applications/MangoBOX-Protocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
MangoSale,MangoSale,https://github.com/Mangoboxlabs/MangoSale,,2023-08-08,,,4,2,8.00,26000,github.com/w3f/Grants-Program/blob/master/applications/MangoSale_Protocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
manta_network,manta_network,https://github.com/Manta-Network/pallet-manta-dap,,2021-02-06,,,3,,,1,github.com/w3f/Grants-Program/blob/master/applications/manta_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
massbit_route,massbit_route,https://github.com/massbitprotocol/massbitroute,,2022-09-28,,,6,2,12.00,50000,github.com/w3f/Grants-Program/blob/master/applications/massbit_route.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
melodot,melodot,https://github.com/ZeroDAO/melodot,,2023-12-23,,,1.5,4.5,6.75,28000,github.com/w3f/Grants-Program/blob/master/applications/Melodot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
MeProtocol,MeProtocol,https://github.com/Me-Protocol/rusty-protocol-v0.1,,2024-07-12,,,2600,5,13000.00,29600,github.com/w3f/Grants-Program/blob/master/applications/MeProtocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
merkle_tree,merkle_tree,https://github.com/frisitano/merkle-tree-db,ebd3ee8492d2db61cccdb5a8f82740e93eef5c83,2023-03-05,,,2,,,25000,github.com/w3f/Grants-Program/blob/master/applications/binary_merkle_tree.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
migrationEase,migrationEase,https://github.com/Zondax/polkadot-web-migration,,2025-07-22,,,2.7,,,87,github.com/w3f/Grants-Program/blob/master/applications/MigrationEase.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
mobile_dapp_connection,mobile_dapp_connection,https://github.com/tesseract-one/Tesseract.rs,,2023-04-19,,,0.83,2,1.66,25000,github.com/w3f/Grants-Program/blob/master/applications/Plutonication.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
mobile-game-framework-millestone,mobile-game-framework-millestone,https://github.com/creator-rs/creator,ece9d1f84816ef7420533fe35167cb1a5baca6c5,2021-07-15,,,2.0,,,2,github.com/w3f/Grants-Program/blob/master/applications/mobile-game-framework.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
multisignature_management_tool,multisignature_management_tool,https://github.com/itering/subscan-multisig-ui,30f83b4a4d9f0f060c46db103cee3125e8f0e487,2021-08-03,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
Multix-a-simple-UI-for-complex-multisigs,Multix-a-simple-UI-for-complex-multisigs,https://github.com/ChainSafe/Multix,,2023-02-06,,,1.5,1,1.50,30000,github.com/w3f/Grants-Program/blob/master/applications/Multix-a-simple-UI-for-complex-multisig.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
myriad_social,myriad_social,https://github.com/myriadsocial/myriad-node-parachain,,2024-11-20,,,3,3,9.00,30000,github.com/w3f/Grants-Program/blob/master/applications/myriad_social.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
native-bitcoin-vaults,native-bitcoin-vaults,https://github.com/hashed-io/native-bitcoin-vaults-UI,,2022-10-18,,,2,3,6.00,43200,github.com/w3f/Grants-Program/blob/master/applications/native-bitcoin-vaults.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
NeuroZK,NeuroZK,https://github.com/Cyborg-Network/cyborg-parachain,,2025-06-07,,,2,6,12.00,30000,github.com/w3f/Grants-Program/blob/master/applications/NeuroZK.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
new_bls12_hash_function,new_bls12_hash_function,https://github.com/dishport/Indifferentiable-hashing-to-ordinary-elliptic-curves-of-j-0-with-the-cost-of-one-exponentiation,,2022-08-31,,,1,6,6.00,15000,github.com/w3f/Grants-Program/blob/master/applications/new_bls12_hash_function.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
NewOmega,NewOmega,https://github.com/WiktorStarczewski/newomega.polkadot,c0c5ca0,2023-01-18,,,2,2,4.00,15000,github.com/w3f/Grants-Program/blob/master/applications/newomega.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
nftaa,nftaa,https://github.com/decenzio/nftaa,,2025-09-02,,,2,6,12.00,30000,github.com/w3f/Grants-Program/blob/master/applications/nftaa.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
nft_collectibles_wallet,nft_collectibles_wallet,https://github.com/GamePowerNetwork/gamepower-module-library,,2021-06-08,,,2.1,,,15000,github.com/w3f/Grants-Program/blob/master/applications/nft_collectibles_wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
nft_explorer,nft_explorer,https://github.com/uni-arts-chain/evm-nft-tracker,,2021-11-18,,,2,2.5,5.00,16000,github.com/w3f/Grants-Program/blob/master/applications/nft_explorer.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
nftstore-network,nftstore-network,https://github.com/NFTT-studio/NFTMart-Node,,2021-07-09,,,2,2,4.00,0,github.com/w3f/Grants-Program/blob/master/applications/NFTStore_Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Nolik,Nolik,https://github.com/chainify/nolik,,2022-09-13,,,1,2,2.00,9800,github.com/w3f/Grants-Program/blob/master/applications/Nolik.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
nulink,nulink,https://github.com/NuLink-network/nulink-chain,,2022-03-25,,,2,6,12.00,10000,github.com/w3f/Grants-Program/blob/master/applications/NuLink.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ocelloids_monitoring_sdk,ocelloids_monitoring_sdk,https://github.com/sodazone/ocelloids,,2023-07-24,,,2,2,4.00,28000,github.com/w3f/Grants-Program/blob/master/applications/ocelloids_monitoring_sdk.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ocelloids_xcm_monitoring_service,ocelloids_xcm_monitoring_service,https://github.com/sodazone/xcm-monitoring,,2023-11-20,,,2,2,4.00,28000,github.com/w3f/Grants-Program/blob/master/applications/ocelloids_xcm_monitoring_service.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
offline_elction_tool,offline_elction_tool,https://github.com/antiers-solutions/polkadot-staking-miner,,2026-01-29,,,1,,,5000,github.com/w3f/Grants-Program/blob/master/docs/RFPs/offline_election_tool.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
offline_election_tool,offline_election_tool,https://github.com/antiers-solutions/polkadot-staking-miner,,2026-02-03,,,1,,,5000,github.com/w3f/Grants-Program/blob/master/docs/RFPs/offline_election_tool.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Omniverse_DLT,Omniverse_DLT,https://github.com/Omniverse-Web3-Labs/Omniverse-DLT-Introduction,,2023-06-18,,,3,4,12.00,30000,github.com/w3f/Grants-Program/blob/master/applications/Omniverse DLT.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
On_chain_cash_exchange,On_chain_cash_exchange,https://github.com/bsn-si/ocex-smartcontract,,2022-07-06,,,4,2,8.00,36100,github.com/w3f/Grants-Program/blob/master/applications/on-chain-cash.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
openbrush,openbrush,https://github.com/727-Ventures/openbrush-contracts,,2023-01-20,,,3,,,99,github.com/w3f/Grants-Program/blob/master/applications/openbrush-follow-up-2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
openbrush_follow_up,openbrush_follow_up,https://github.com/Supercolony-net/openbrush-contracts,,2022-07-26,,,,,,5000,github.com/w3f/Grants-Program/blob/master/applications/ink-smart-contract-wizard.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
openPayroll,openPayroll,https://github.com/polkadrys/openPayroll,,2023-07-26,,,2,4,8.00,20000,github.com/w3f/Grants-Program/blob/master/applications/openPayroll.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
openrollup-mvp-phase,openrollup-mvp-phase,https://github.com/open-rollup/pallet-open-rollup,,2023-06-14,,,1.5,7.5,11.25,30000,github.com/w3f/Grants-Program/blob/master/applications/openrollup-mvp-phase-1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
OpenSquare_offchain_voting,OpenSquare_offchain_voting,https://github.com/opensquare-network/collaboration,,2021-11-19,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
OpenSquare_paid_qa,OpenSquare_paid_qa,https://github.com/opensquare-network/paid-qa,,2022-07-12,,,5,,,25000,github.com/w3f/Grants-Program/blob/master/applications/OpenSquare_paid_qa_protocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
orochi-network-orosign-part1,orochi-network-orosign-part1,https://github.com/orochi-network/orochi-networkhub.io,,2023-10-17,,,2,,,10000,github.com/w3f/Grants-Program/blob/master/applications/orochi-network-orosign-part1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
p2p_state_channels,p2p_state_channels,https://github.com/peer3to/state-channels-plus,,2024-12-02,,,,3,,100000,github.com/w3f/Grants-Program/blob/master/applications/P2PStateChannels.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
pacificstore,pacificstore,https://github.com/vlbos/pacificstore-node,,2021-04-28,,,1,,,0,github.com/w3f/Grants-Program/blob/master/applications/pacific_store.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
pallet_drand_client,pallet_drand_client,https://github.com/random-meat/drand-substrate-client,,2023-01-16,,,1,2,2.00,28000,github.com/w3f/Grants-Program/blob/master/applications/pallet-drand-client.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
pallet_supersig_decentration,pallet_supersig_decentration,https://github.com/kabocha-network/pallet_supersig,,2023-02-22,,,2,,,,github.com/w3f/Grants-Program/blob/master/applications/supersig_fellowship.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
pallet-verifier,pallet-verifier,https://github.com/davidsemakula/pallet-verifier,,2024-12-09,,,1,,,30000,github.com/w3f/Grants-Program/blob/master/applications/pallet-verifier.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
PANIC,PANIC,https://github.com/SimplyVC/panic,,2022-08-22,,,1.5,2,3.00,29000,github.com/w3f/Grants-Program/blob/master/applications/Validator_Monitoring_Service.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
parachain_staking,parachain_staking,https://github.com/PureStake/moonbeam,,2021-12-05,,,2,,,2,github.com/w3f/Grants-Program/blob/master/applications/web3-compatible-api.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
parallel,parallel,https://github.com/parallel-finance/parallel,,2021-10-21,,,4,4,16.00,9,github.com/w3f/Grants-Program/blob/master/applications/Parallel.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
paraport,paraport,https://github.com/paraportxyz/app,,2025-10-20,,,2,3,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/paraport_m1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ParaSpell,ParaSpell,https://github.com/dudo50/ParaSpell,2fb7b9c2a4bf6bf9602abced3f5662be96f2bc65,2022-09-30,,,1,2,2.00,10000,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Paraspell-followup,Paraspell-followup,https://github.com/paraspell/sdk,aea02541f7168d7a7f566b7311fcf70f6a977115,2023-01-29,,,1,2,2.00,10000,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell_follow-up2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ParaSpell-followup2,ParaSpell-followup2,https://github.com/paraspell/sdk,,2023-04-18,,,1,2,2.00,10000,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell_follow-up2.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
patron,patron,https://github.com/Brushfam/patron-backend,,2023-07-06,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
perun_app_channels,perun_app_channels,https://github.com/perun-network/perun-polkadot-pallet,54c55acabfe2f5b57a79b4330726cf572453c0f0,2022-09-20,,,1.25,7.25,9.06,87000,github.com/w3f/Grants-Program/blob/master/applications/distributed_cryptography_for_polkadot_wallets.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
perun_channels,perun_channels,https://github.com/perun-network/perun-polkadot-pallet,,2021-07-20,,,1.25,7.25,9.06,87000,github.com/w3f/Grants-Program/blob/master/applications/distributed_cryptography_for_polkadot_wallets.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
perun_integration,perun_integration,https://github.com/perun-network/perun-polkadot-pallet,,2021-11-12,,,1.25,7.25,9.06,87000,github.com/w3f/Grants-Program/blob/master/applications/distributed_cryptography_for_polkadot_wallets.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
php-rpc-lib,php-rpc-lib,https://github.com/gmajor-encrypt/php-scale-codec,,2022-04-29,,,,1,,9000,github.com/w3f/Grants-Program/blob/master/applications/JsonRpsee-socks5-proxy.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
php-rpc-lib-follow-up,php-rpc-lib-follow-up,https://github.com/gmajor-encrypt/php-substrate-api,,2023-02-21,,,,1,,9000,github.com/w3f/Grants-Program/blob/master/applications/JsonRpsee-socks5-proxy.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
php-scale-lib,php-scale-lib,https://github.com/gmajor-encrypt/php-scale-codec,,2021-10-13,,,,1,,9000,github.com/w3f/Grants-Program/blob/master/applications/JsonRpsee-socks5-proxy.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
php-substrate-api,php-substrate-api,https://github.com/neha0921/substrate-interface-package,,2021-12-14,,,2,,,0,github.com/w3f/Grants-Program/blob/master/applications/php-substrate-api.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Plus,Plus,https://github.com/Nick-1979/polkadot-Js-Plus-extension,,2022-03-23,,,3,3,9.00,,github.com/w3f/Grants-Program/blob/master/applications/Plus-social-recovery-wallet.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Plutonication,Plutonication,https://github.com/RostislavLitovkin/Plutonication,,2024-08-21,,,0.83,2,1.66,25000,github.com/w3f/Grants-Program/blob/master/applications/Plutonication.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
pocs,pocs,https://github.com/auguth/pocs,,2025-04-08,,,3,,,25000,github.com/w3f/Grants-Program/blob/master/applications/PoCS.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
polkadart,polkadart,https://github.com/rankanizer/polkadart,d112181c8769a8e74d3eff57a46940a3dbf7370c,2024-03-08,,,4.,15,60.00,75000,github.com/w3f/Grants-Program/blob/master/applications/Polkadart.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Polkadart_extension,Polkadart_extension,https://github.com/leonardocustodio/polkadart,,2025-03-07,,,1.5,4,6.00,30000,github.com/w3f/Grants-Program/blob/master/applications/polkadart_extension.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
