project_id,project_name,repo_url,resolved_commit,commit_source,effort_since,effort_until,actual_duration_months,duration_plausible,ksloc_code,ksloc_code_raw,generated_loc_excluded,generated_files_n,ksloc_all,pm_mid,pm_low,pm_high,active_dev_days,total_commits,distinct_authors,effort_reliable,top_langs,planned_fte,planned_duration_months,planned_pm,cost_usd,status,error_msg,new_sloc,adapted_sloc,adapted_fraction,cm_observed,aam,equivalent_sloc
democratic-governance,democratic-governance,https://github.com/encointer/pallets,f6e15ecfc2a7c85905f13ec49db69073c0d3a8ae,cutoff,2020-05-12,2024-01-09,43.92,0,16.7740,17.3650,591,9,18.4170,3.5263,1.0312,33.0,67,86,6,1,"{""Rust"": 16774, ""TOML"": 1039, ""SVG"": 357, ""Markdown"": 199, ""YAML"": 48}",,,,5200,OK,,11.1731,5.6009,0.3339,1.0,0.84,15.8779
DIA_Bridgestate,DIA_Bridgestate,https://github.com/diadata-org/bridgestate-ocw,b11e71a263099f1aca2695558d3b36a5176535f6,cutoff,2023-04-27,2023-08-04,3.25,1,1.7320,1.7320,0,0,1.8780,0.4211,0.123,3.0,8,14,1,0,"{""Rust"": 1732, ""Markdown"": 106, ""TOML"": 40}",,,,,OK,,1.429,0.303,0.175,1.0,0.84,1.6835
Diffy_messenger_st1_ms1,Diffy_messenger_st1_ms1,https://github.com/Belsoft-rs/diffychat-pallet,78fbb3a973aa25cc9f270e02c551fc81825a4e78,cutoff,2023-04-12,2023-04-14,0.07,1,1.5360,1.5360,0,0,2.2960,0.0526,0.0132,1.0,1,1,1,0,"{""Rust"": 1492, ""Markdown"": 338, ""TOML"": 230, ""YAML"": 93, ""JSON"": 62}",,,,,OK,,0.0,1.536,1.0,0.0,0.0554,0.0851
Diffy_messenger_st1_ms2,Diffy_messenger_st1_ms2,https://github.com/Belsoft-rs/diffychat-pallet,5ff7e47cf8b6a4bf6e26a55c3836dabe44d047d5,cutoff,2023-04-12,2023-07-07,2.83,1,1.6470,1.6470,0,0,2.3120,0.5263,0.1604,5.0,10,14,3,1,"{""Rust"": 1581, ""Markdown"": 291, ""TOML"": 235, ""JSON"": 69, ""Dockerfile"": 44}",,,,,OK,,0.0,1.647,1.0,0.17,0.1958,0.3225
dipole-oracle-millestone,dipole-oracle-millestone,https://github.com/DipoleTech/dipole-oracle,daf00351fb604db519e88a894aeee2c8209885a3,cutoff,2020-06-10,2020-06-10,0.0,0,1.4620,1.4620,0,0,1.8840,0.0,0.0,0.0,0,0,0,0,"{""Rust"": 1302, ""TOML"": 276, ""JavaScript"": 146, ""JSON"": 71, ""Markdown"": 59}",1.25,,,1,OK,,0.0,1.462,1.0,0.0,0.0554,0.081
distributed_cryptography_for_polkadot_wallets,distributed_cryptography_for_polkadot_wallets,https://github.com/perun-network/polkadot-wallet-grant,9bd4053d0868ecf85f2c89ca4d86f6054f3cbc1e,cutoff,2024-01-15,2024-01-15,0.0,0,0.0000,0.0000,0,0,0.0030,0.0,0.0,0.0,0,0,0,0,"{""Markdown"": 3}",1.25,7.25,9.06,87000,OK,,,,,,,
distributedKeyManagement,distributedKeyManagement,https://github.com/KryptikApp/swordExample,c23e7a72d9161f6c7a8c44f5d03ba3e64fdd8da0,cutoff,2022-03-29,2023-03-26,11.89,1,7.5530,7.5530,0,0,10.3450,8.1579,3.5755,16.0,155,1295,3,1,"{""TypeScript"": 7464, ""JSON"": 1490, ""Markdown"": 607, ""CSS"": 467, ""SVG"": 149}",.4,3,1.20,8000,OK,,7.5029,0.0501,0.0066,0.9259,0.7881,7.5424
DistrubutedKeyManagement,DistrubutedKeyManagement,https://github.com/KryptikApp/sword,7eaab1b18123d2b098e27068c286842aa6ab50eb,head,2023-01-21,2023-01-27,0.2,1,0.0000,0.0000,0,0,0.1440,0.2105,0.0527,1.0,4,5,1,0,"{""Markdown"": 144}",,,,,OK,,,,,,,
DKSAP,DKSAP,https://github.com/GreenLemonProtocol/dksap-polkadot,baa81158fdbb1d3f06a8a062b32ca06c3e867c42,cutoff,2022-07-17,2022-07-17,0.0,0,0.9880,0.9880,0,0,1.1200,0.0,0.0,0.0,0,0,0,0,"{""JavaScript"": 554, ""Rust"": 434, ""Markdown"": 70, ""TOML"": 32, ""JSON"": 30}",1,,,10000,OK,,0.0,0.988,1.0,0.0,0.0554,0.0547
dora-factory-multisig,dora-factory-multisig,https://github.com/DoraFactory/dorafactory-multisig,0857c6489d78d7fd0ec92f59434e02e688b62788,cutoff,2022-02-21,2022-03-28,1.15,1,0.2010,0.2010,0,0,2.7380,0.4211,0.1447,3.0,8,11,2,1,"{""Vuejs Component"": 2160, ""JavaScript"": 201, ""SVG"": 152, ""Markdown"": 101, ""CSS"": 65}",2,1,2.00,10000,OK,,0.1701,0.0309,0.1539,1.0,0.84,0.1961
Doter,Doter,https://github.com/ChainBridgeNetworkTeam/Doter,b3a6b09ec981b64f329f421e34596ce2e37c96e0,cutoff,2021-03-26,2021-07-15,3.65,1,6.8090,6.8090,0,0,21.9230,5.2632,1.5432,7.0,100,137,2,1,"{""CSS"": 12260, ""TypeScript"": 6348, ""SCSS"": 2511, ""JavaScript"": 461, ""JSON"": 190}",,,,,OK,,1.1984,5.6106,0.824,0.8697,0.7488,5.3994
dotflow,dotflow,https://github.com/TheDotflow/dotflow-ink,465ecd535adad7b5de9f8d5a5b25158cc1055b69,cutoff,2023-04-01,2023-09-07,5.22,1,1.3650,1.3650,0,0,1.6160,1.1579,0.3471,4.0,22,29,2,1,"{""Rust"": 1365, ""TOML"": 98, ""YAML"": 80, ""Markdown"": 69, ""Dockerfile"": 4}",1.5,,,19000,OK,,1.365,0.0,0.0,0.0,0.0554,1.365
dot-login,dot-login,https://github.com/singkeo/dot-login,dcfc09006da7a033c61f7c7e8f40df85721a52da,cutoff,2024-04-04,2024-07-23,3.61,1,0.3810,0.3810,0,0,0.5540,0.4211,0.1486,5.0,8,14,2,1,"{""Rust"": 381, ""Markdown"": 120, ""TOML"": 38, ""Dockerfile"": 15}",3,6,18.00,17000,OK,,0.0,0.381,1.0,1.0,0.84,0.32
dotly,dotly,https://github.com/justmert/dotly-backend,e4c75adf54c67a2d86f3d22860b55553641a0004,cutoff,2023-06-03,2023-09-28,3.84,1,3.5330,3.5330,0,0,3.6070,0.4211,0.138,2.0,8,13,1,0,"{""Python"": 3533, ""Markdown"": 53, ""Text"": 19, ""INI"": 2}",1,2,2.00,10000,OK,,3.533,0.0,0.0,0.0,0.0554,3.533
dot_marketplace,dot_marketplace,https://github.com/WowLabz/dot_marketplace_docker,e4fc9a5ba074ba9df86f66ac5141a90f073dc90f,cutoff,2021-09-07,2021-10-27,1.64,1,0.0060,0.0060,0,0,0.3620,0.4737,0.1403,4.0,9,12,3,1,"{""Markdown"": 184, ""YAML"": 135, ""Dockerfile"": 37, ""Bourne Shell"": 6}",5.9125,2,11.82,18920,OK,,,,,,,
dot_marketplace-Phase3,dot_marketplace-Phase3,https://github.com/WowLabz/dot-marketplace-v2,f45f18301056765d913eecfaba1b72350b878b92,cutoff,2022-02-24,2022-12-26,10.02,1,3.3540,3.3540,0,0,4.3620,0.3684,0.1229,5.0,7,15,4,1,"{""Rust"": 3324, ""TOML"": 549, ""Markdown"": 441, ""Nix"": 30, ""YAML"": 14}",2.39,2.0,4.78,29925,OK,,0.0895,3.2645,0.9733,0.9286,0.79,2.6685
dot_marketplace_v2,dot_marketplace_v2,https://github.com/WowLabz/dot-marketplace-v2,06ca3b17963a93d09a05a73e63ac5aebc813de10,cutoff,2022-02-24,2022-05-10,2.46,1,3.3800,3.3800,0,0,4.3920,0.2105,0.0787,3.0,4,10,3,1,"{""Rust"": 3336, ""TOML"": 549, ""Markdown"": 445, ""Nix"": 30, ""YAML"": 14}",2.39,2.0,4.78,29925,OK,,0.0927,3.2873,0.9726,0.839,0.7273,2.4835
dotmog,dotmog,https://github.com/dotmog/SubstrateNetApi,7f3463903493ad241c3a7f2b7d893b17a3812ba0,cutoff,2020-09-07,2021-05-02,7.79,1,6.7280,6.7280,0,0,44.5130,4.6316,1.9085,10.0,88,194,2,1,"{""JSON"": 37380, ""C#"": 6728, ""Markdown"": 155, ""MSBuild script"": 125, ""Visual Studio Solution"": 89}",1,2,2.00,3,OK,,6.728,0.0,0.0,0.0,0.0554,6.728
dotnix,dotnix,https://github.com/sporyon/dotnix-core,e29a51734d61c150adfcba2fa6a018250e14e667,cutoff,2024-05-13,2024-08-02,2.66,1,0.8520,0.8520,0,0,0.9780,1.0,0.4156,7.0,19,51,2,1,"{""Nix"": 776, ""Markdown"": 126, ""Bourne Shell"": 76}",2,,,30000,OK,,,,,,,
dotnix_followup,dotnix_followup,https://github.com/sporyon/dotnix-core,88d566372d584b699bb92b45862a8191ff7fe4de,commit,2024-05-13,2026-03-11,21.91,1,2.3310,2.3310,0,0,2.5600,3.2632,1.3187,25.0,62,192,4,1,"{""Nix"": 2255, ""Markdown"": 165, ""Bourne Shell"": 76, ""YAML"": 38, ""diff"": 26}",2,,,30000,OK,,,,,,,
DotPay,DotPay,https://github.com/bytepayment/bytepay,216386fc5d86c4e01c6d424914403fe60d5354fb,cutoff,2022-01-05,2022-03-11,2.14,1,2.6600,2.6600,0,0,11.1560,2.2632,0.7895,9.0,43,69,6,1,"{""JSON"": 7005, ""TypeScript"": 1908, ""Vuejs Component"": 1216, ""JavaScript"": 538, ""Rust"": 214}",5,,,30000,OK,,2.2719,0.3881,0.1459,0.9928,0.835,2.5959
dotpulse,dotpulse,https://github.com/CrossChainLabs-DOT/dotpulse-api,f3cf33274b9dbea3404e36faef4e3f01e496701e,cutoff,2022-10-12,2022-12-13,2.04,1,0.8440,0.8440,0,0,12.4190,0.3158,0.1059,5.0,6,9,2,0,"{""JSON"": 11462, ""JavaScript"": 844, ""Markdown"": 101, ""Dockerfile"": 8, ""Handlebars"": 4}",3,,,42000,OK,,0.844,0.0,0.0,0.0,0.0554,0.844
eiger-PNS,eiger-PNS,https://github.com/eigerco/polkadot-native-storage,aa636ff6a4e96705aa37426f36e627d741a13e84,cutoff,2023-10-23,2023-10-23,0.0,0,5.4470,5.4550,8,1,7.3770,0.0,0.0,0.0,0,0,0,0,"{""Rust"": 5443, ""Markdown"": 1004, ""TOML"": 499, ""JSON"": 398, ""Dockerfile"": 27}",,,,,OK,,0.0,5.447,1.0,0.0,0.0554,0.3018
eightfish,eightfish,https://github.com/eightfish-org/eightfish,1cddd6c44d02e025ac74d4595c7d30ced4c9066d,cutoff,2022-10-27,2023-05-12,6.47,1,4.2360,4.2360,0,0,6.2500,2.6842,1.079,10.0,51,114,4,1,"{""Rust"": 4154, ""Markdown"": 712, ""YAML"": 607, ""TOML"": 502, ""Dockerfile"": 93}",2,2,4.00,15000,OK,,4.1575,0.0785,0.0185,1.0,0.84,4.2234
ElasticLabs_PolakdotAgentKit,ElasticLabs_PolakdotAgentKit,https://github.com/elasticlabs-org/polkadot-agent-kit,edb75aaf1d2d1f999b62425642bd39b3d4b27203,commit,2025-02-05,2025-11-06,9.0,1,16.4050,16.4050,0,0,41.7730,0.8947,0.3465,7.0,17,49,4,1,"{""YAML"": 23165, ""TypeScript"": 16152, ""Markdown"": 1033, ""JSON"": 836, ""CSS"": 332}",2,3,6.00,30000,OK,,16.405,0.0,0.0,0.0,0.0554,16.405
eliza-plugin-dot,eliza-plugin-dot,https://github.com/ChainSupport/eliza-plugin-dot,a10238298076bdcdec679f73eb5636ffb74992f4,cutoff,2025-11-07,2025-11-08,0.03,1,2.0420,2.0420,0,0,8.4520,0.0526,0.0821,1.0,1,25,1,0,"{""YAML"": 5895, ""TypeScript"": 2042, ""Markdown"": 389, ""JSON"": 111, ""Text"": 15}",1.5,1,1.50,10000,OK,,0.0,2.042,1.0,0.7336,0.6535,1.3345
ElizaPolkadotPlugin,ElizaPolkadotPlugin,https://github.com/elizaOS/eliza,9ea1bd682f0de73dd22b28ff5aff119ed57f8e39,cutoff,2024-02-28,2025-07-18,16.62,1,0.0000,0.0000,0,0,0.0000,115.7368,57.2997,650.0,2199,11342,461,1,{},1.5,1,1.50,10000,OK,,,,,,,
epirus_substrate_explorer,epirus_substrate_explorer,https://github.com/web3labs/epirus-substrate,7b9f6695638b7da1c6844176feec9e28209426c2,cutoff,2022-06-06,2022-08-05,1.97,1,11.1450,11.1450,0,0,67.1900,3.2105,1.7848,8.0,61,301,3,1,"{""JSON"": 54907, ""TypeScript"": 10936, ""Markdown"": 487, ""YAML"": 240, ""JavaScript"": 183}",2,3,6.00,75000,OK,,11.145,0.0,0.0,0.0,0.0554,11.145
epirus_substrate_explorer-phase2,epirus_substrate_explorer-phase2,https://github.com/web3labs/epirus-substrate,c27c1dc56ca69d263e61d0f0d5e59b979eb19057,cutoff,2022-06-06,2022-12-05,5.98,1,13.8500,13.8500,0,0,71.1180,5.0,2.5451,15.0,95,428,3,1,"{""JSON"": 56118, ""TypeScript"": 13635, ""Markdown"": 505, ""YAML"": 219, ""JavaScript"": 183}",2,3,6.00,75000,OK,,13.85,0.0,0.0,0.0,0.0554,13.85
epirus_substrate-phase2,epirus_substrate-phase2,https://github.com/web3labs/epirus-substrate,0c79496b75cd2c50996a067dfd9353c375362506,cutoff,2022-06-06,2023-02-10,8.18,1,16.3860,16.3860,0,0,76.7180,6.2632,3.1282,19.0,119,498,3,1,"{""JSON"": 59164, ""TypeScript"": 16170, ""Markdown"": 507, ""YAML"": 223, ""JavaScript"": 184}",2,3,6.00,75000,OK,,16.386,0.0,0.0,0.0,0.0554,16.386
escrow,escrow,https://github.com/herou/EscrowPallet,4a2150f6cd1519dcc83195ca6c309e56f40a08dc,cutoff,2022-09-08,2022-09-08,0.0,0,0.0000,0.0000,0,0,0.0000,0.0,0.0,0.0,0,0,0,0,{},,3,,,OK,,,,,,,
Evanesco_Network,Evanesco_Network,https://github.com/Evanesco-Labs/WhiteNoise.rs,3d37dbf691177bbd660df0fb7b8c60a6a79cc5c4,cutoff,2021-05-06,2021-09-14,4.3,1,3.7520,3.7520,0,0,4.2220,1.5789,0.6246,5.0,30,58,1,0,"{""Rust"": 3752, ""Markdown"": 269, ""Protocol Buffers"": 136, ""TOML"": 65}",3,3,9.00,1,OK,,3.752,0.0,0.0,0.0,0.0554,3.752
Faceless,Faceless,https://github.com/HeisenbergLin22/Faceless_milestone2_delivery,2db2b8a068f48a5beae4907188b096159427fed4,cutoff,2022-12-12,2022-12-13,0.03,1,15.6780,16.4480,770,2,19.4040,0.0,0.0,0.0,0,0,0,0,"{""Rust"": 13892, ""Markdown"": 3002, ""JavaScript"": 1711, ""TOML"": 372, ""JSON"": 175}",3,2,6.00,30000,OK,,0.0,15.678,1.0,0.0,0.0554,0.8686
faceless_delivery,faceless_delivery,https://github.com/HeisenbergLin22/Faceless_milestone1,fa34685ebaccc67212ea68fe06a0a0787aa7a12e,cutoff,2022-07-25,2022-08-10,0.53,1,15.7610,16.3610,600,1,19.4590,0.1053,0.0263,1.0,2,2,1,0,"{""Rust"": 13975, ""Markdown"": 2979, ""JavaScript"": 1711, ""TOML"": 367, ""JSON"": 175}",3,2,6.00,30000,OK,,0.0,15.761,1.0,0.0852,0.1258,1.9827
fair_squares,fair_squares,https://github.com/Fair-Squares/fair-squares,4af2375d2885bebe0b965429fae40aade69e9c30,cutoff,2022-02-20,2023-03-16,12.78,1,17.4050,17.7290,548,8,19.2550,9.8947,3.7768,38.0,188,379,5,1,"{""Rust"": 17014, ""TOML"": 974, ""JSON"": 409, ""Bourne Shell"": 361, ""Markdown"": 282}",2,6,12.00,36720,OK,,15.0097,2.3953,0.1376,0.9951,0.8366,17.0135
faterium,faterium,https://github.com/faterium/faterium-node,8e1df0640059b4cdb81cafe9cca394f670e354cb,cutoff,2022-11-07,2023-01-19,2.4,1,2.4400,2.5480,108,1,3.2010,0.7368,0.3211,3.0,14,28,1,0,"{""Rust"": 2395, ""Markdown"": 354, ""TOML"": 240, ""YAML"": 81, ""JSON"": 62}",5,,,30000,OK,,1.1332,1.3068,0.5356,0.9647,0.8153,2.1986
Faucet,Faucet,https://github.com/karooolis/sybil-resistant-substrate-faucet,a9c7b2fc87df5c0213595fef27d2f262774c4240,cutoff,2022-08-10,2022-10-13,2.1,1,0.8940,0.8940,0,0,1.0740,0.8421,0.4121,3.0,16,72,1,0,"{""TypeScript"": 834, ""JSON"": 98, ""Markdown"": 75, ""JavaScript"": 57, ""SVG"": 4}",1,1,1.00,4000,OK,,0.699,0.195,0.2181,1.0,0.84,0.8628
faucet-bot,faucet-bot,https://github.com/StringNick/sybil-resistant-chat-bot-substrate-faucet,,,,,,,,,,,,,,,,,,,,1.5,1.5,2.25,7500,ERROR,"git clone failed: fatal: could not read Username for 'https://github.com': No such device or address
",,,,,,
fennel-protocol,fennel-protocol,https://github.com/fennelLabs/Fennel-Protocol,29d21e896e7e735a07d385bcd8eb1c2167aa3246,cutoff,2020-11-17,2022-04-05,16.56,1,2.1670,2.2950,128,3,2.6690,1.0526,0.2966,10.0,20,37,2,1,"{""Rust"": 2096, ""TOML"": 306, ""Markdown"": 133, ""YAML"": 42, ""Bourne Shell"": 41}",3,3,9.00,50000,OK,,0.8599,1.3071,0.6032,0.998,0.8386,1.956
FIAT-on-off-ramp,FIAT-on-off-ramp,https://github.com/element36-io/ebics-java-service,7b050853c546a5bbb1f46b7ef4fa644034a8b36e,cutoff,2021-05-22,2022-11-21,18.0,1,3.4140,25.7040,22290,522,12.4510,0.8421,0.2996,11.0,16,40,4,1,"{""SVG"": 4459, ""XSD"": 3540, ""Java"": 3014, ""Bourne Shell"": 400, ""XML"": 335}",1.5,6,9.00,,OK,,0.8399,2.5741,0.754,1.0,0.84,3.0021
fidi-dotsight,fidi-dotsight,https://github.com/fidi-tech/dotsight,12280b45f5f1ddd855d6b91eaee4abbf1916f534,commit,2023-09-11,2023-09-11,0.0,0,3.0240,3.0240,0,0,19.6640,0.0526,0.0132,1.0,1,1,1,0,"{""JSON"": 16458, ""TypeScript"": 2999, ""Markdown"": 146, ""YAML"": 36, ""JavaScript"": 25}",3.5,,,17500,OK,,0.0,3.024,1.0,1.0,0.84,2.5402
fractapp,fractapp,https://github.com/fractapp/fractapp,6a8facadd43b421dbd9289d789a921f75f0532a1,cutoff,2020-10-02,2021-11-25,13.76,1,20.6240,20.6240,0,0,41.9510,5.5789,1.7277,28.0,106,175,4,1,"{""HTML"": 19451, ""TypeScript"": 12908, ""JavaScript"": 7279, ""JSON"": 726, ""XML"": 671}",3.5,3,10.50,1,OK,,18.6702,1.9538,0.0947,0.9533,0.8073,20.2475
FuturProtocol,FuturProtocol,https://github.com/RELAI-Network/relai-network,19feb86afec6ed8c227ae860076086399aac5326,cutoff,2023-04-18,2024-03-31,11.43,1,1.9300,2.0070,77,2,2.4190,0.0526,0.0132,1.0,1,1,1,0,"{""Rust"": 1922, ""TOML"": 428, ""Markdown"": 30, ""Containerfile"": 17, ""INI"": 14}",1,,,7000,OK,,0.6598,1.2702,0.6581,0.9873,0.8311,1.7154
Gafi,Gafi,https://github.com/cryptoviet/gafi,2090ecdf9b829b8aef1aa27ce27d32eb214529ec,cutoff,2019-08-28,2022-07-27,34.95,0,15.4000,15.7740,374,8,18.5420,7.2105,2.4715,56.0,137,234,27,1,"{""Rust"": 14710, ""TOML"": 2024, ""JavaScript"": 619, ""Markdown"": 562, ""JSON"": 331}",1.2,11.5,13.80,52700,OK,,15.4,0.0,0.0,0.0,0.0554,15.4
galaxy,galaxy,https://github.com/7flash/galaxy-polkadot,f97d5e2e5eab3322782f72d3b469d11cbf7e94a9,commit,2023-04-28,2023-09-28,5.03,1,1.8660,1.8660,0,0,15.5480,0.6316,0.2064,5.0,12,25,3,1,"{""JSON"": 13407, ""TypeScript"": 1352, ""JavaScript"": 514, ""CSS"": 174, ""Markdown"": 64}",1,1,1.00,10000,OK,,1.2009,0.6651,0.3564,0.9833,0.8283,1.7518
GenesisDAO,GenesisDAO,https://github.com/deep-ink-ventures/genesis-dao-node,e8e1cfe1bcceeae832175883ecd448b9138b071e,cutoff,2023-01-09,2023-05-23,4.4,1,5.3760,5.8290,567,4,6.3050,3.3684,1.2738,10.0,64,142,3,1,"{""Rust"": 5332, ""TOML"": 353, ""Markdown"": 283, ""diff"": 178, ""YAML"": 67}",3,,,100000,OK,,2.7609,2.6151,0.4864,0.9934,0.8354,4.9454
gluon,gluon,https://github.com/tearust/gluon-website,815843ecd61b75e1ee19ebaef9190954616bf0fa,cutoff,2020-12-16,2021-04-02,3.52,1,5.3200,5.3200,0,0,36.9630,1.6316,0.6025,9.0,31,60,3,1,"{""JSON"": 27865, ""JavaScript"": 4453, ""Vuejs Component"": 2691, ""TypeScript"": 483, ""XML"": 447}",2.5,5,12.50,28,OK,,4.322,0.998,0.1876,0.322,0.3213,4.6427
grant_management_webapp,grant_management_webapp,https://github.com/antiers-solutions/gmw-frontend,93cefb64f55038d87c0e8498a591569afdf66bf3,cutoff,2023-08-01,2023-08-09,0.26,1,3.7130,3.7130,0,0,21.3930,0.5263,0.2199,3.0,10,18,3,1,"{""JSON"": 15581, ""TypeScript"": 3694, ""SCSS"": 1972, ""SVG"": 52, ""Markdown"": 22}",3,,,10000,OK,,0.7046,3.0084,0.8102,0.9311,0.7918,3.0865
grantmaster,grantmaster,https://github.com/Zaniyar/grantmaster,b0b3c1cf56f79e97a6c39d41e324a02b15f4f76e,cutoff,2023-07-04,2023-12-27,5.78,1,1.7930,1.7930,0,0,24.6600,1.1053,0.3309,6.0,21,34,1,0,"{""JSON"": 22553, ""TypeScript"": 1789, ""Markdown"": 116, ""CSS"": 94, ""YAML"": 80}",0.6,5,3.00,10000,OK,,1.793,0.0,0.0,0.0,0.0554,1.793
GreenLemon,GreenLemon,https://github.com/GreenLemonProtocol/dksap-polkadot,6cc3eaab72bef3e5d5cf7a7a215a835de7af8dfc,cutoff,2022-07-17,2022-09-12,1.87,1,1.2130,1.2130,0,0,1.3660,0.8421,0.3388,3.0,16,42,1,0,"{""JavaScript"": 648, ""Rust"": 565, ""Markdown"": 91, ""TOML"": 32, ""JSON"": 30}",2,,,30000,OK,,0.2412,0.9718,0.8012,0.8856,0.7599,0.9797
halva_bootstrapping,halva_bootstrapping,https://github.com/halva-suite/halva,4103aeb62c08725b4045a2f62af315f4bb1ae685,cutoff,2020-07-02,2020-10-06,3.15,1,1.7650,1.7650,0,0,31.4930,2.1579,0.8748,8.0,41,103,3,1,"{""JSON"": 29531, ""TypeScript"": 1742, ""Markdown"": 184, ""JavaScript"": 23, ""INI"": 13}",1.5,,,0,OK,,1.7334,0.0316,0.0179,1.0,0.84,1.7599
halva-framework,halva-framework,https://github.com/halva-suite/halva,02fb082de0c6f7d404030388cbf00a0d57b4b5b0,cutoff,2020-07-02,2020-08-14,1.41,1,0.9230,0.9230,0,0,12.4830,1.2105,0.435,5.0,23,54,3,1,"{""JSON"": 11430, ""TypeScript"": 918, ""Markdown"": 117, ""INI"": 13, ""JavaScript"": 5}",1.5,,,0,OK,,0.8681,0.0549,0.0594,1.0,0.84,0.9142
hamster-millestone,hamster-millestone,https://github.com/hamster-shared/hamster,5e1ea087d1d4a7935573c0891e2603f9ff11d719,cutoff,2022-01-10,2022-05-05,3.78,1,4.2680,4.3110,43,1,5.3730,0.7895,0.2244,7.0,15,19,4,1,"{""Rust"": 4218, ""TOML"": 921, ""Markdown"": 164, ""Nix"": 30, ""Bourne Shell"": 20}",4,2,8.00,25600,OK,,4.268,0.0,0.0,0.0,0.0554,4.268
hex-space-social-graph,hex-space-social-graph,https://github.com/rust-0x0/hex-space-protocol-substrate,3653ef6a45284297f457e4a749c1527f74cb7323,cutoff,2022-06-21,2022-07-12,0.69,1,2.3170,2.3170,0,0,2.4330,0.3684,0.1318,2.0,7,12,1,0,"{""Rust"": 2278, ""TOML"": 65, ""Markdown"": 51, ""Bourne Shell"": 39}",1,1,1.00,3500,OK,,2.317,0.0,0.0,0.0,0.0554,2.317
High-Availability validator setup,High-Availability validator setup,https://github.com/tikv/tikv,88bd7f1fe2cbcac31d516f76b10f1f213375a06f,cutoff,2016-01-07,2023-07-11,90.08,0,413.6330,421.4920,7859,5,498.3170,247.4211,72.2655,1814.0,4701,5875,370,1,"{""Rust"": 413015, ""JSON"": 77544, ""TOML"": 4563, ""Markdown"": 1851, ""YAML"": 372}",1,,,25000,OK,,404.4249,9.2081,0.0223,1.0,0.84,412.1597
hs-web3,hs-web3,https://github.com/airalab/hs-web3,d63ce43a5de964aa9259c1b5cde4b98be4bf6465,cutoff,2016-10-03,2021-08-11,58.25,0,11.7950,11.8260,31,1,69.3740,11.4211,4.1777,69.0,217,493,20,1,"{""JSON"": 56377, ""Haskell"": 9134, ""C/C++ Header"": 2658, ""YAML"": 824, ""Markdown"": 186}",0.4,,,2,OK,,11.795,0.0,0.0,0.0,0.0554,11.795
hybrid,hybrid,https://github.com/hybrid-explorer/hybrid-indexer,b7a5ebccfb25665236574e24bbf0adc198dbb0e9,cutoff,2023-03-08,2023-08-07,4.99,1,2.9310,2.9310,0,0,3.3430,3.5263,1.6331,6.0,67,247,1,0,"{""Rust"": 2931, ""Markdown"": 366, ""TOML"": 23, ""YAML"": 17, ""Dockerfile"": 6}",1,,,10000,OK,,2.931,0.0,0.0,0.0,0.0554,2.931
hybrid2,hybrid2,https://github.com/hybrid-explorer/hybrid-indexer,a15b1ce1a4e40546e22e818d034880ca37187a60,commit,2023-03-08,2023-10-06,6.96,1,3.3580,3.3580,0,0,3.7970,4.1053,1.8623,8.0,78,274,1,0,"{""Rust"": 3358, ""Markdown"": 388, ""TOML"": 28, ""YAML"": 17, ""Dockerfile"": 6}",1,,,10000,OK,,3.358,0.0,0.0,0.0,0.0554,3.358
hybrid-node-research,hybrid-node-research,https://github.com/Zondax/mayon,bfb7f1da367f7dc7fa270927a8efeeae5c29fc8a,cutoff,2023-02-28,2023-03-19,0.62,1,3.2900,3.2900,0,0,4.9100,0.3158,0.1336,2.0,6,20,2,1,"{""Rust"": 2428, ""CMake"": 595, ""Nix"": 579, ""Markdown"": 427, ""TOML"": 294}",2.5,,,58,OK,,0.0182,3.2718,0.9945,1.0,0.84,2.7665
Hyperdot,Hyperdot,https://github.com/Infra3-Network/hyperdot-node,68be8b95b572a0ce884107b8b53503ce75fb9883,cutoff,2023-08-25,2023-11-29,3.15,1,5.2630,7.2980,2035,1,9.9670,2.2632,0.7162,5.0,43,65,2,1,"{""Go"": 5263, ""JSON"": 2127, ""YAML"": 2051, ""Markdown"": 447, ""make"": 64}",,,,,OK,,4.8148,0.4482,0.0852,1.0,0.84,5.1913
hyperfridge,hyperfridge,https://github.com/element36-io/hyperfridge-r0,9803622bf7c2a04f539489684547a06d6cf18dab,cutoff,2023-12-05,2024-03-17,3.38,1,1.9630,1.9630,0,0,22.6960,0.0,0.0,0.0,0,0,0,0,"{""XSD"": 17030, ""HTML"": 2384, ""Rust"": 1533, ""Markdown"": 843, ""Bourne Shell"": 430}",1.5,6,9.00,,OK,,0.2207,1.7423,0.8876,0.9977,0.8384,1.6814
idavoll_network,idavoll_network,https://github.com/idavollnetwork/idavoll,79dc2c70e29d45f848067ad1d2e5a2805ce4d488,cutoff,2020-11-12,2021-06-16,7.1,1,2.8530,2.8530,0,0,3.2440,2.9474,1.3195,16.0,56,128,8,1,"{""Rust"": 2843, ""TOML"": 219, ""Markdown"": 109, ""JSON"": 48, ""make"": 15}",,,,,OK,,2.853,0.0,0.0,0.0,0.0554,2.853
